flood_id,dateTimeMin,dateTimeMax,dateTimeMed,maxWaterLevel,meanWaterLevel,flood_time_hours
71,2004-07-31T08:12:00Z,2004-07-31T11:00:00Z,2004-07-31T09:36:00Z,0.341,0.32117241379310346,2.8
72,2004-08-01T09:30:00Z,2004-08-01T10:54:00Z,2004-08-01T10:12:00Z,0.308,0.3012666666666667,1.4
73,2004-08-13T07:30:00Z,2004-08-13T09:24:00Z,2004-08-13T08:27:00Z,0.311,0.3036,1.9
74,2004-09-06T13:48:00Z,2004-09-06T17:06:00Z,2004-09-06T15:27:00Z,0.333,0.31561764705882356,3.3
75,2004-09-06T23:30:00Z,2004-09-07T07:42:00Z,2004-09-07T03:36:00Z,0.468,0.40225301204819275,8.2
76,2004-09-09T03:18:00Z,2004-09-09T21:06:00Z,2004-09-09T12:12:00Z,0.53,0.4370446927374302,17.8
77,2004-09-15T21:18:00Z,2004-09-15T23:30:00Z,2004-09-15T22:24:00Z,0.323,0.31217391304347825,2.2
78,2004-09-17T23:24:00Z,2004-09-18T15:36:00Z,2004-09-18T07:30:00Z,0.62,0.4577116564417178,16.2
79,2004-09-20T00:36:00Z,2004-09-20T05:48:00Z,2004-09-20T03:12:00Z,0.391,0.3601132075471698,5.2
80,2004-09-21T00:18:00Z,2004-09-21T06:06:00Z,2004-09-21T03:12:00Z,0.43,0.37728813559322033,5.8
81,2004-09-25T06:00:00Z,2004-09-25T08:42:00Z,2004-09-25T07:21:00Z,0.338,0.3210357142857143,2.7
82,2004-09-28T19:48:00Z,2004-09-29T01:42:00Z,2004-09-28T22:45:00Z,0.497,0.40963333333333335,5.9
83,2004-09-30T09:00:00Z,2004-09-30T13:54:00Z,2004-09-30T11:27:00Z,0.413,0.3654,4.9
84,2004-09-30T19:30:00Z,2004-10-01T02:12:00Z,2004-09-30T22:51:00Z,0.481,0.4057794117647059,6.7
85,2004-10-01T23:24:00Z,2004-10-02T01:36:00Z,2004-10-02T00:30:00Z,0.316,0.307,2.2
86,2004-10-03T00:00:00Z,2004-10-03T01:12:00Z,2004-10-03T00:36:00Z,0.299,0.29615384615384616,1.2
87,2004-10-05T00:36:00Z,2004-10-05T03:54:00Z,2004-10-05T02:15:00Z,0.345,0.32344117647058823,3.3
88,2004-10-13T20:30:00Z,2004-10-13T22:42:00Z,2004-10-13T21:36:00Z,0.326,0.31143478260869567,2.2
89,2004-10-14T08:18:00Z,2004-10-14T10:24:00Z,2004-10-14T09:21:00Z,0.318,0.3069545454545454,2.1
90,2004-10-15T18:54:00Z,2004-10-16T03:06:00Z,2004-10-15T23:00:00Z,0.613,0.48643373493975905,8.2
91,2004-10-21T02:06:00Z,2004-10-21T09:00:00Z,2004-10-21T05:33:00Z,0.401,0.35897142857142855,6.8999999999999995
92,2004-10-21T11:42:00Z,2004-10-21T17:06:00Z,2004-10-21T14:24:00Z,0.357,0.33336363636363636,5.4
93,2004-10-22T02:36:00Z,2004-10-22T07:24:00Z,2004-10-22T05:00:00Z,0.387,0.3486326530612245,4.8
94,2004-10-23T05:00:00Z,2004-10-23T07:12:00Z,2004-10-23T06:06:00Z,0.319,0.3079130434782609,2.2
95,2004-10-24T03:36:00Z,2004-10-24T11:00:00Z,2004-10-24T07:18:00Z,0.495,0.41318666666666665,7.3999999999999995
96,2004-10-24T15:18:00Z,2004-10-24T23:00:00Z,2004-10-24T19:09:00Z,0.485,0.4065384615384615,7.7
97,2004-10-25T03:48:00Z,2004-10-25T11:00:00Z,2004-10-25T07:24:00Z,0.49,0.40991780821917806,7.2
98,2004-10-25T16:48:00Z,2004-10-25T23:06:00Z,2004-10-25T19:57:00Z,0.455,0.389921875,6.3
99,2004-10-26T06:18:00Z,2004-10-26T09:54:00Z,2004-10-26T08:06:00Z,0.359,0.3340810810810811,3.6
100,2004-10-26T19:36:00Z,2004-10-26T21:36:00Z,2004-10-26T20:36:00Z,0.319,0.3088095238095238,2
101,2004-10-29T21:06:00Z,2004-10-30T00:48:00Z,2004-10-29T22:57:00Z,0.37,0.3430526315789474,3.6999999999999997
102,2004-11-05T01:00:00Z,2004-11-05T04:42:00Z,2004-11-05T02:51:00Z,0.367,0.33799999999999997,3.6999999999999997
103,2004-11-25T06:30:00Z,2004-11-25T10:18:00Z,2004-11-25T08:24:00Z,0.346,0.3261538461538462,3.8
105,2004-12-11T19:12:00Z,2004-12-11T23:54:00Z,2004-12-11T21:33:00Z,0.417,0.36875,4.7
106,2004-12-29T00:00:00Z,2004-12-29T00:18:00Z,2004-12-29T00:09:00Z,0.296,0.2945,0.3
107,2005-01-14T01:12:00Z,2005-01-14T01:36:00Z,2005-01-14T01:24:00Z,0.292,0.29159999999999997,0.4
108,2005-02-05T18:18:00Z,2005-02-05T19:36:00Z,2005-02-05T18:57:00Z,0.305,0.29914285714285715,1.3
110,2005-03-28T22:24:00Z,2005-03-29T01:30:00Z,2005-03-28T23:57:00Z,0.334,0.316125,3.1
111,2005-03-29T10:06:00Z,2005-03-29T13:06:00Z,2005-03-29T11:36:00Z,0.338,0.322741935483871,3
112,2005-04-02T14:06:00Z,2005-04-03T07:30:00Z,2005-04-02T22:48:00Z,0.536,0.45381714285714286,17.4
